guid,text,tag
2442,"?∫ ZARA Woman BNWT Ecru Blue Printed Crepe Kimono Loose Cut Fringed Hem 2367/105 
",2
3888,"RT ????? ??? ???? ????? ??? ? ? ? ?????.. 
",2
1084,"RT HAPPY NEW YEAR, 2015! BE MORE KIND AND COMPASSIONATE TO OTHERS. WE ALL NEED THAT! MY LATE MOM & I. 
",2
2787,"Pizza elevated for cooking base & top. 
",1
1437,"RT It's definitely good to be home. empty supertubes 
",2
3537,"FRANK BARON TRIO Moontide / Rotten Row 78 POLYGON P1012 
",1
3452,"Have You Ever Woken Up In The Middle Of Night Paralyzed? ... 
",0
4442,,0
1534,"RT Ouch! TooTight wrong texture haircare TradingStandards Shrewsbury ROBBERY 
",0
3343,"RT My big world...!! by A.A abdelmajid Nature NaturePhotography Photography Photo Picture 
",2
4744,Why are you feeling gloomy? Take the quiz:,2
4047,DefundPP PJNET,1
764,"Skinny: wild gevangen & al 47 jr kunstjes doen in Geen pensioen voor dolfijnen. via 
",2
3907,"RT These wild ladies always help each other when they have boo boo's! BFF'S HappyBirthdayP 
",2
4106,10x Fashion Joystick Thumbstick Caps Game For PS3 PS4 XBOX 360 Controller Black - Full rea…,1
568,"Ebony And Ivory by ... - Abandoned Atmosphere Decay Deserted EbonyAndIvory Moody 
",0
291,"Happy Valentine's Day ??? 
",2
1355,"RT Courage. She realized her courage was standing right in front of her. So depression 
",2
2057,"time for slim Jim to have his chauffeur rides cut ! 
",0
3788,"Are you troubled about low self-image? Take the quiz: 
",2
1073,"We're with this morn for an int & perf of Thunderstruck. Pic from 5am rehearsal Celloverse 
",1
3095,"RT Textra-terrestrial - Someone who is an “alien” to texting, usually older and technologically impaired. 
",0
618,"“@TEDTalks: This gel can make you stop bleeding instantly: hemostasis Medicine emergency 
",1
542,"RT Hell hath no fury like a Yoruba woman scorned. 
",0
195,"RT .@HeraldZimbabwe who counted zimbabweelephants? NOT ZANUPF they submit false figures 2 feed China Bloody Ivory! 
",0
500,"RT 5 Passionate Posts from Top Marketers Who Love Content Marketing: 
",2
940,"feeling so inlove,crush infatuated, wird enjoyable melting... And moré! 
",2
2106,"RT ""Oh, don't you worry, most of you will never fall in love and marry out of fear of dying alone."" 
",2
3215,"My best friend is incredible going to make me emotional such a kind hearted girl ?? 
",2
3274,"RT Lonely Tibetan road | Photo by CoolBiere (IG) 
",0
4511,RT Ecstatic with our new-look van! Thank you Let us know what you think if you see us on the road.,2
1148,"LUNCH 11-2pm 20-40 Pacifica, Irvine! ceviche wild realfood 
",2
1502,"Forgotten.. Kent Dungeness wrecked photography 
",0
4404,,2
582,"RT What 10 REAL Doctors Discovered Inside Of Their Patients: 
",1
4709,RT ももクロリミックス盤「天手力男」でTeddyLoid & tofubeatsが共同制作,2
399,"RT Sublime Sachertorte Dark Chocolate Jaffa jovial joy on a plate-Chic-Ragous delight Foodporn htt… 
",2
2757,"David Beckham posted the CUTEST birthday tribute to his best girl 
",2
1547,"abandoned urbex ruins haikyo 廃墟 写真 
",0
1704,"zealous newyearsday Paidsocialmediajobs. - new killer affiliate dashboard.: Get Paid 
",2
409,"RT ""It is truly a hilarious, light-hearted read that is a treasure on anyone's bookshelf."" 
",2
703,"Vengeful Hearts for Valentine's Day! 
",0
2069,"How species-centric to kill animals for fun - their lives mattered to THEM! Selfish soulless debased hunters 
",0
1686,"Blog Post: AnnalynneMccord Scorned NudeScene Babe Doll Female Cute Hot 
",2
4414,On my bicycle ride I noticed the medium on Maclure Rd in Abbotsford on fire due to a discarded cigarette butt.,0
3805,"Lewis Hamilton turned away from Wimbledon Royal Box for not being appropriately dressed: 
",2
4043,RT くちくいきゅうと海鮮もずく,2
4334,"RT Brilliant story by 612cc It's like but radio. ht…
",2
2997,"RT Itz witch mabel! (For:@Mabel_Pines23) 
",2
4915,RT Your argument that Justin is a bad person is invalid try again FanArmyFaceOff Beliebers,0
1394,"Seeing in disgraced! Looking forward to the talk with the... 
",1
5022,super busy kid college boy with terrifyingly hectic schedule whos a whit panicky struggling to do his calculus paper,0
2328,"AWFUL...I'm the worst kind of person. 
",0
1989,"Wiserswhiskeyquestionoftheday Cheerful Valentines Day Everybody:Did You Get Another One Of My Valentines Day Card 
",2
1757,"TBT wore this hat cause it matches still SHAMED ?? 
",2
1007,"Just ate four cookies. remorse 
",2
3993,RT A mossy reflecting pool on an abandoned estate in Florida,2
3830,"RT What did the Ivory Coast do to upset the Orangemen? 
",0
1610,"Getting back into it. career NeverStopNeverSettle overjoyed 
",2
4821,Usedcars Forsale Ford : Mustang GT PREMIUM GT PREMIUM NAVIGATION LEATHER HEATED/COOLED SEATS… Cars CarDealers,2
3647,"RT M?e preciso fazer um trabalho.... 
",2
1865,"International Car Forest of the Last Church - Goldfield, NV nevada abandoned 
",0
2384,"RT CHAPO IS THE NEW BLACK 
",2
561,"“@gardenandgunmag: a/k/a John Waters Scooby Doo remake. 
",2
78,"RT Shelter Dogs On Their Way Home For The First Time - 
",2
3063,"n?o conseguimos resistir a fazer umas compras para a nossa cole??o e isto é apenas o que eu trouxe para casa 
",1
447,"My own little space inside a humongous 4 sets Studio.... recognition elated happiness 
",2
3627,"Portable Soft Cloth Baby Kid Intelligence Development Learn Picture Cognize Book - Only : … 
",2
4806,viEUwsLive - Heated debate on GMOs: European Commission brushes off criticisms | VIDEO:,2
269,"How My Display Looks After Calibration Baffled Professional Snob HomeCinema 
",1
1203,"britishshorthair britskorthaar tabby blotched webstapick websta_me whiskas purrfectpet purrfectdesign cat… 
",2
1015,"""@ThatKidRalph: I was going to be a child and violate butttt I'm grown shook 
",2
3056,"RT Le mec n'a pas bougé en 6 ans 
",1
2832,"shoes Brand New Reebok Walking Tennis Walk Euphoric Sport White Medium Shoes 10.5 
",1
3971,"Zippy The Fat Cat before during & after our 1st attempt at shaving him ourselves! 
",2
3077,"His Teeth Hurt So Badly He Wanted To Die, Then Something Crazy Happened 
",0
320,"RT British consul ""horrified"" by illegal Israeli settlements on visit to West Bank 
",0
73,"RT Crowds attack Ebola facility, health workers in Guinea 
",1
1954,"He's waiting Tiverton Devon ??03007771560 
",2
1730,"Had to be rescued off the mountain! skiingitaly mortified 
",0
3681,"RT This weekend we want to celebrate the success of a strong and super talented woman! Go girl! serenawilliams ?? 
",2
1172,"news New post: UN alarmed at rising attacks against schoolgirls worldwide 
",2
1414,"RT My EP IWantYouToKnow comes out Feb 10, 2015! It also features my single Dizzy- Get ready, can't wait!! EP Feb10 
",2
3913,"RT PopwreckedApproved Boobie-Feeling Wild Ass Time in Cannes! 
",2
3155,"RT Today in 1991, ""Boyz in the hood"" opened in theaters ? 
",0
5078,,0
4699,RT Dog comforts frightened cat during scary thunderstorm.,2
170,"RT Wonderful Turner Field Tour today. So excited for baseball season. Thanks 
",2
1493,"Selfiiiiie ? Se nou menm again ? haitian fish team509 brodè black bèlnegrès bellebouche haiti haitienne z… 
",2
4226,RT そういやアクマイザー３といえば先々週に配信されてた話で哲学堂公園（※妖怪学の開祖である井上円了の設計したステキ施設）がばっちり出ており、大変興奮しました。７０年代はこんな感じだったのか！　そしてあそこでザビタンが戦っていたのか……！,2
3538,"It Looks Like an Old, Rotten Tree Trunk From Here, but Lo... 
",0
635,"Today is ValentinesDay! Share it with that special someone! 
",2
1328,"Thank you for the Competition pack received as part of the Reward and Recognition Scheme delighted 
",2
2118,"Urbex Asylum grime discarded forgotten abandoned junk Urbex_Extreme Urbex_supreme 28DaysLater 
",0
2673,"RT The moment I told this Bosnian man that we (Khalsa Aid )will rebuild his floods destroyed house in 2014. humanity 
",0
4657,嵐,1
927,"So this is not even a quarter of my possessions horrified wankyfridaynightsorting 
",1
329,"RT An actual women people should be idolizing Angelina Jolies talent and beauty is just as beautiful as her soul 
",2
3734,"Why don't dolphins fight back when their survival is threatened? via Blackfish 
",0
637,"Rudd walked away and left Abbott taken aback. 
",1
4304,Shafts already damaged by lip seals can upgrade to LabTecta & 10.5 years of bearing protection,0
4130,"Bleak House: An Authoritative and Annotated Text, Illustrations, a Note on the T",1
3901,"Kindle Erotica >> ""Wicked Ties"" 
",0
4356,,0
4491,"Doting brother, budding trendsetter: Prince George celebrates 2nd birthday animals",2
4167,"1996 $1 American Silver Eagle Dollar $1 KEY DATE, LOW MITAGE, BLEMISHED",0
4216,"RT Thank you for this amazing, talented, loving and caring human being HarryAppreciationDay",2
605,"I was really startled there for a sec 
",2
1673,"My phone recognised William as a face but not me rejected 
",2
4638,Deals Beauty Deals : New 20 Pairs Soft Synthetic Fiber False Eyelashes Makeup Eye Lashes 1…,2
3606,"Lot of 6 MY LITTLE PONY Small Horses Figures PinkiePie 
",2
4314,RT aastrombeck : RT BruceTulgan: I am delighted to have collaborated with roberthalf on the GetReadyforGenZ white …,2
4723,"RT JUNHO (From 2PM) Solo Tour 2015 ""LAST NIGHT""@名古屋1日目！この夜を盛り上げるのに欠かせない皆さんの大きな歓声と掛け声！最高でした?名古屋公演まだ明日も続きます?",2
4964,RT 夏、満喫しました pixiv,2
2994,"Finished this card with cute stamps & dies from the Gleeful Gardens set. 
",2
4937,"RT See what happens to this ""marooned"" crayon in TheDayTheCrayonsCameHome! everycrayoncounts",2
4339,RT heres some grocery butt,2
29,"RT Met this enthusiastic group of badminton players during today's morning park visit in gautam nagar. 
",2
3260,"Life isn't about how you survive the storm, it's about learning to dance in the rain. 
",2
3493,"Am stepping on my ground no fear play 
",2
3807,"Turned hot tub into a foam party?? 
",1
2535,"RT This how females look when they brag about how crazy they are 
",2
2720,"Why are you feeling dispirited? Take the quiz: 
",1
2594,"Ali Alameer just defeated tmsngrd in Champions League - 
",2
2454,"RT blurred average hexagons overlay 
",1
4661,Latest find. Recipes look awesome. Ready to say buhbye meat (I'm still having a turkey sandwich for lunch),2
4104,,2
3233,"RT my spidey sense is tingling.... but the catnip has left me too lazy to do anything about it. RT 
",0
1157,"RT worried avfc utv 
",0
1107,"Vibrant red-restyle vibrant hair salon salonlife red restyle SamuelMichael 
",2
492,"May your love be passionate and kind. 
",2
2718,"RT A fairly dispirited are out in the semifinals to 
",0
4044,RT When you peep some bullshit but remember your working on your anger.,2
2161,"independentretailawards scottishhairandbeautyawards winners delighted 
",2
1067,"How I feel about my Psalms class. thrilled jennmemes 
",2
1110,"Leftovers? Use the protein in a quesadilla w/ cheese, red onion & have a side of roasted/sautéed vibrant veggies. 
",2
502,"Deals : 7557 Navajo Sterling Petrified Wood Agate Cuff Bracelet & Necklace Set ca. 1970s … 
",1
2998,"RT ; A ; ?x827313 
",0
4696,RT Custom Forsaken cymbal.,0
1138,"Bit of bleakness. ? bleak blackandwhite columns trees 
",0
926,"Best girl. Had a rough week. barren 
",2
4939,Now streaming on Netlabel Profiles: Axel Schultheiss Marooned listen ccmusic,0
4422,The Templar Succession: A Novel In 1972 a disgraced college professor an books 10,0
1245,"Check out Why Brussels Sprouts Are Good, Bitter and TheBestWay To Cook here in 
",2
1792,"RT a fan gave harry a packers snapback that's so cute and he looks so so happy aww i love seeing him interact with fans 
",2
2525,"Aveces yo nose si pierdo el tiempo...ven y quítame esta confusión dime si quieres lo mismo que yo ?? 
",2
1540,"sums up my free time exploring adventuring walking train tracks traintracks gloomy grunge hipster punk 
",0
1249,"The 20 Most Colorfu wildlife wild 
",2
3772,"Alex's former friends now constables lead him to be tortured.... 
",0
71,"Wenn Jim Carry will, ich w?r bereit für ""Dumb and Dumber III"". cut viel gesicht 
",2
2753,"RT Dopey yet so hot'wa!! ?? InstaTheft LoveInToronto ShabirChors Pankhas [Pic Credit Kanchi's Insta] 
",2
4153,750/45-30.5 BLEMISHED R1-W 143 A/8 TIRE,0
3916,"RT Skrillex & A$AP Rocky - Wild for the Night 
",0
884,"TVOvernights: TheWalkingDead returns, ramps up the tragedy, nets FOX 582,000 viewers grim 
",0
4142,Bell Variant MTB Bike Cycling Helmet Small S 52-56cm Matte Black New Blemished,1
3539,"Children with rotten teeth worryingly high 
",0
987,"February Winter Rainy Stormy Windy Wednesday Evening Love Happy Positive Passionate Calm M Coffee ????? 
",2
5031,RT Passionate about publicspeaking? Join WaterAid's Speaker Network (no costume required!) Email speakers@wateraid.org.,2
2672,"RT Reports that ISIS destroyed 12 homes in Sirte after seizing contents within them. Libya 
",0
2808,"From hip-hop to electro, brings an energetic variety of genres! Join tonight for Chicago Industry Alliance! 
",2
1943,"RT HORRIFIC: ISIS parades 17 captured Kurdish fighters to be BURNED ALIVE 
",0
3601,"Valley of the Giants - where makes you feel very small: thisiswa 
",2
610,"It's my dream to one day get sponsored by so I don't have to worry about this problem empty m5 nzero 
",2
3089,"Soccer-Panama and Honduras draw ill-tempered Gold Cup match soccer 
",0
2872,"Real Girls Gone Bad, Sexy Tattooed Bitches 159 100% Real Amateurs Exposed! Naked amateur g… 
",2
548,"Hell hath no fury like Wor Margaret scorned! pizza ValentinesDay 
",2
3657,"RT Dorothy identifies the spineless. Enlist in the USFA at Constitutional ""resurrection."" 
",0
1979,"Happy Valentine's day everybody. Have yourselves a cheerful evening. 
",2
1053,"headphone Series I was totally taken aback with the excellent quality that these headpho… 
",2
1653,"February Winter Rainy Stormy Windy Tuesday Night Love Happy Positive Passionate Calm Joy Fun Coffee??? 
",2
2725,"LEVI's 511 Dark Wash Zipper Fly Distressed SKINNY FIT Jeans Men's 30x32 
",1
367,"RT When you confidently yell out the wrong answer in class... 
",0
903,"OtherWorld Buddha - buddhism buddha zen enlightenment peace joy happiness Buddha, b… 
",2
800,"Zippy is wishing you all a HappyValentinesDay ! AdoptTheOne adoptdontshop CatsOfTwitter TeamCatMojo rescuecats 
",2
1984,"HotPics Cute Cheerful Avatar on AppAndroid 
",2
1079,"RT “@mcnetthj: GM Trapped all.… 
",2
142,"RT The Onion is euphoric today: Local Church Full Of Brainwashed 
",1
2425,"MENS PUMA SPORT TROUSERS ACTIVWEAR PANTS BLUE SIZE S SMALL EXCELLENT 
",2
376,"Other fans are disappointed && I'm over here ECSTATiC!! REFUND that $$, please && THANKYOU ?? 
",0
837,"Back to the hotel and is on his arse AGAIN!!! So much for BCFC fans! Feeble 
",0
4170,"CROFT Comp 26"" MTB Bike Wheelset 24/24H QR Shimano/SRAM Compatible NEW BLEMISHED",0
521,"RT We're reeling in something amazing this February called FishermansKeep. See you for dinner! 
",2
436,"New Womens CHAUS Short Sleeve Black White Lace Shirt Top Size M Medium 
",1
4389,RT Advanced Class theme Destroyed Beauty by mua foto richardmonsieurs makeupbattle mac macpro,0
3100,"RT How Catholics end summer camp holymass massoutside thatsafirst 
",2
593,"Man stabbed in front of Scotiabank cinema yxe spnews 
",0
1222,"Woohyun Nam Singer High Notes Strong Beautiful INFINITE Inspirit 1991 ? 
",2
251,"RT VIDEO: Footage of furious West Ham fans abusing owner David Sullivan after defeat! 
",2
4973,画师：まにお - 上传于：201…,2
1287,"RT Only ivanna would call for a guy with that face XD cousin friends crazy ivanna ? 
",2
535,"Rt GrootBot: I am Groot. I_AM__GROOT_: RT Whatacuteface: Cant believe these guys ruined this dogs selfie ? 
",2
2826,"RT Feeling euphoric having tackled Cheddar Gorge! CHSWRide 
",2
229,"Baddieeee RT Beautifully Flawed 
",2
4275,FIC / NC,2
736,"whipped my outfit up right before i went out. bless my little talent ?? 
",2
4982,same. And I'm like this when I'm mocked for my height.,0
3247,"RT leftover america cake? 
",0
392,"RT Chewbacca punching Hitler, your argument is invalid 
",0
4392,"RT TodaysKidsWillNeverKnow about this. It may have destroyed our computers, but man they were good times!",2
4162,Fruit Acid Peeling with White Tea & papaya for blemished skin! fruitacid skincare peeling,2
821,"RT Awards brochures back from the printers! excited FIA2015 
",2
3093,"Coffee: (Noun) Starter fluid for the morning impaired. 
",0
526,"Cayendo copos casi imperceptibles suficientes para hacerte sentir esa felicidad estúpida e infantil snow elated 
",2
2886,"vectormurah irelandforever From fear to confidence: This Method For Developing Self- 
",2
4258,是非Crazyのゲストで最安値＆特価貰ってください?,0
996,"Feelin' the love in here! ValentinesDay caring 
",2
2982,"RT I AM SO FRUSTRATED 
",0
4523,"So, apparently my liver enzymes are elevated. Oh well, liver injury it is!",0
4412,RT Luxury housewares and cutting-edge design techniques are not mutually exclusive:,2
5049,"By leenmachinecalligraphy The free calligraphy chat I scheduled is today at 1pm Eastern! Although I'm petrified, I'…",0
2700,"Why are you feeling dismal? Take the quiz: 
",1
157,"Harshad's second Missionn ? what did you do??? appalled 
",2
1404,"Tagline Disney dismal RooneyMara EverRacistLand 
",0
3767,"RT Another 4 ticked off today. Loads of people wandering around with their maps! shauninthecity 
",2
5054,"He's watching and he's proud 1YearWithOutGrandpaGrande htt…
",2
2965,"Took a photo in Colorado on a foggy morning. via /r/pics pics 
",2
5062,"RT ""He rattled his maracas close to meeeeeeee"" Richie RikMayall",0
1033,"RT Grade 5s helping out other grades during RAKWeek2015 prairiewaters rvsed caring pypchat 
",2
990,"scared veryscared don't be holding owt hot - we're coming nearer David...... petrified ?!!!!! 
",2
3667,"RT Man Stabbed To Death By Wife In Embu For Allegedly ‘Drinking Family Money’ ~@MpashoNews 
",0
345,"RT Sad Sadness Lost Lonely Hurt Broken Depression Disorder Depressed Selfharm Selfhate Quotes Suicide Hope … 
",0
3112,"RT Sad, sad pictures of Prime Minister incapable of learning basic English, despite it being crucial for his job Spain 
",0
338,"It's about the charm, the attitude, that smile... and suddenly you're infatuated! HappyValentinesDay BeMODE love 
",2
2669,"RT Meet the student, Faatimah Knight, who raised $30,000 to help fix churches destroyed by fire 
",2
1727,"Didn't realise Friction pens work by thermo-sensitive ink until laminated 8yr old's h/work! mortified 
",2
4607,RT Evil Eye Earrings Lampwork Hearts in Plum Pink- Hamsa E107 jewelryonetsy GoldFilled,2
113,"S/O x [M!E] 
",2
717,"RT Dynamic colors. So vibrant. “@PoCBeauty: Photography by Said Mhamad. ??” 
",2
2892,"RT humanity always fearful and thoughts come into minddonotfeartheunknownembrace positive thoughts 
",2
4176,relationship,2
4926,"htt…
",2
929,"Found in my wrap today... Is that a plastic bread clip???? Can't believe I just bit into this horrified ouch 
",0
3147,".@NPRNews businesses pls think twice b4 attending lunch meets in S.Korea StopBoknal2015 
",0
880,"Try sleeping in this room you would have nightmares! grim sceneofacrime 
",0
4941,RT last time Audrey was marooned was more fun.. I hope she can rebound in the next couple days bb17,2
2087,"Boxer beats up gang of thugs after they harass his wife: fight crazy 
",0
1561,"RT ?Wicked RT 
",0
4756,RT Grim this,0
539,"Scorned by Clark North Blue Asian Devil Serpent Tattoo Artwork Giclee Art Print 
",0
4763,RT Grim Reaper. ..ok some whiskers r cut do to wound other side is long,0
288,"RT Happy Valentine day from us ?? 
",2
5025,RT Paralyzed Oxford police officer finds strength in community,0
3726,"RT Terror-stricken city at 11:30 in the night 
",0
4614,RT Excited to kick off season by sharing our story with netde,2
1546,"2015 Name of Painting: Release Me art gallery stress anger let go AllArtBot 
",0
3314,"RT 20th anniversary Srebrenica ceremonies marred by attack on Serbian prime minister: 
",0
3098,"A blog about yesterday - a perfectly imperfect day 
",2
452,"RT Also at Clyfford Still Musuem, astounding earlyish work whose data I neglected to record. OffSiteTweeting 
",0
225,"I literally just finished eating all the chocolate in my house, and my dad comes by with this. ? D'awe. 
",2
2079,"RT Josh was delighted 
",2
1691,"Janowicz wins 6-2 3-6 6-3. Drama towards the end as the umpire didn't overrule a Jerzy serve. Paire left Seething 
",1
504,"Painting for the Petrified painting 
",2
1864,"zealous newyearsday Public speaking cheat: Learn the easy way to overcome your fear 
",2
3575,"RT The Exclusive 8 Pictures of Dead Sea Monsters The Shook The World!87 =>> 
",0
465,"RT “@LettemeLove: Truly overjoyed!!! tearsofjoy happyhearts KimXi??? Kimmy,you're one blessed lady! ??????? 
",2
714,"RT Valletta is vibrant this evening! Carnival DowntimeinMalta 
",2
4635,RT Wii Fit U + Fit Meter + Balance Board (Wii U) $24.99 via Nintendo.,1
2715,"Why are you feeling dispirited? Take the quiz: 
",2
2373,"RT What an AMAZING week! Lots more BlackMagic fun still to come! Are you ready? Mixers HQ x 
",2
3723,"Some are sick, some dying, & all are terrified. NotOurs 
",0
4574,RT So many enthusiastic attendees that it is standing room only! TRTATownHall excitementbuilding,2
5122,RT PWANK at Wendy's. She asked for my order and then shunned me lol,2
1800,"AMAZON-AMIDST ARDOR AGLOW is 150 SHADES OF MAGNIFICENCE FOR MR.& MRS. RIGHT,NOT MR/MS RIGHTNOW 
",1
4758,開店二時間前から並んで質問を考えた甲斐があったにゃ。 RTされた分私物を晒す,2
49,"Mike RT Filmography: Mike, Adam, Jim, Will 1GottaGo 
",2
66,"nowplaying ELISA - ebullient future / rainbow pulsation ～THE BEST OF ELISA～ 
",2
4955,にこ誕 | Mocha＠コミ1そ06b pixiv,2
3141,"RT ""Para símbolo, el se?or peque?o que aparece en la parte inferior de LaImagen"" 
",0
2510,"Bachelorette SUPYoga fun. Looking to the future with optimism and cherishing memories made to last a lifetime love 
",2
164,"Woman stabbed rescuing friend from abusive boyfriend 
",0
2435,"Star Wars 1978 Vintage Kenner Blue Snaggletooth Sears Cantina Playset NoToe Dent - Full re… 
",1
3864,"RT Guardians of Ras Ghanada: Abu Dhabi’s most vibrant coral reef 
",2
1419,"View from new diggs! DaleyPlaza picasso Ihavewindows dontlookdown dizzy OlafonthePlaza Chicago 
",1
1892,"RT Before 1988, Mandela cell was like this, not the bleak propaganda cell you see now on RobbenIsland htt… 
",0
804,"RT powerful energetic passionate strong happy enthusiastic Haven't felt it in a while? paleo time! Join us! 
",2
4196,RT JK YouthCongress protested against BJP-PDPgovt. Dy.CM NirmalSingh effigy was burned on non allotment of AIIMS inJammu,0
4496,カカカおじさん,2
3675,"RT storming a very hot 
",2
3676,"x | 'Changing' on 
",2
1456,"RT Hilarious picture illustrates how far man has come since 2000 BC. worthless 
",2
1764,"When your friends know u can't watch one of your favs and so they send you pics & videos! Speechless ?? Sanremo2015 
",2
3242,"RT ElChapo probably threw the security guards a couple stacks and left prison like: 
",2
4350,抗うつ剤の眠気と７つの対策,0
3178,"RT HARRY'S MOANING SESSION FROM SAN DEIGO WAS INTENSE ?? 
",2
1365,"""Desolate"" by pvallet67 - D810 France Graffiti 
",0
2977,"BILL COSBY WHY HAVE YOU FORSAKEN THIS WOMAN 
",2
216,"RT .@orvinsezmore Ironically, Goebbels was a fervent socialist. cc: 
",2
1553,"RT Tawakalna 'ala Allah Happiness Success 
",2
1432,"triangles gradient edges black thin grain 
",2
3991,"bible ht…
",2
402,"At Costco gas, ever feel like your gas-pumping abilities are being judged by people behind you? performanceanxiety 
",0
166,"Can't wait to see the BATBD episode tonight with guest star So excited 
",2
1530,"RT Swing into high gear in the new Furious 7 trailer! IMAXSummer 
",0
4384,"Fine, if I'm not allowed out I'll nap. But I'll look really despondent while I'm doing it.",0
4742,少しお酒を飲みながら明日も頑張るぞー(^^),2
4110,Cell Phone USA : A18 Bluetooth Smart Wrist Watch Phone Mate for Cell Phone SIM Card Black …,1
5089,RT This is poor taste Any approach people choose to stop smoking should be supported not ridiculed,0
197,"Can you feel it?!!? The new record is moving along nicely. hopeclayburn ardent y'all loud! 
",2
5084,"RT “@_noo_remorse: All my bitches love me, can't get em off me  …
",2
3202,"Some isolated showers popped up in the LP earlier today but most stayed dry. More chances of rain tomorrow. 
",1
4200,,0
4279,RT MyFavoriteCashMoment when Cam wanted Nash to pray with him when he cut his foot,2
3133,"Some buggering bugger opened the last issue of Prog Mag in Sainsburys! *indignant face * 
",0
691,"Red Rose Recovery would like to thank everyone that turned up yesterday to the Central LUF it was great. 
",2
3387,"RT Wen u got mixed feels about Ramadan 
",2
3783,"RT Newport Problems: Pecotic trapped for 5 min post-match while matches go on around them. 
",2
1315,"RT the Wild have a world of their own. Do we want a world of cages? Fine Art Originals by Marcia Baldwin: DEER ... ht… 
",2
4171,"Cownose rays, spotted eagle rays, black blotched rays, blue spotted ribbontail rays, honeycomb rays and leopard rays!",2
843,"how bout my cute little shed Cathy!!!!! finished 
",2
3563,"WTF! Airline Passengers that DESERVE to be Shamed! 
",0
